Sl.n0,Name of the District,Habitations,Electrified,Un-Electrified,AD Colonies Electrified
1,Kancheepuram,3512,3512,NA,2201
2,Thiruvallur,3861,3861,NA,NA
3,Coimbatore,1200,1181,19,2997
4,Erode,3199,3196,3,NA
5,Tiruppur,2455,2444,11,NA
6,Dharmapuri,2827,2824,3,1049
7,Krishnagiri,3983,3983,NA,NA
8,Kanniyakumari,1156,1151,5,388
9,Chennai,NA,NA,NA,NA
10,Madurai,1945,1944,1,1734
11,Theni,607,575,32,NA
12,Dindigul,3084,3077,7,NA
13,The Nilgiris,1284,1271,13,87
14,Vellore,6100,6099,1,1796
15,Tiruvannamalai,4261,4261,NA,NA
16,Pudukkottai,4059,4059,NA,1062
17,Ramanathapuram,2306,2306,NA,1518
18,Sivagangai,2723,2723,NA,NA
19,Virudhunagar,1757,1757,NA,NA
20,Salem,5109,5094,15,1521
21,Namakkal,2520,2520,NA,NA
22,Cuddalore,2403,2403,NA,2358
23,Villupuram,3485,3485,NA,NA
24,Thanjavur,2260,2260,NA,6671
25,Nagapattinam,2053,2053,NA,NA
26,Thiruvarur,1704,1704,NA,NA
27,Tiruchirappalli,2210,2210,NA,2004
28,Perambalur,314,314,NA,NA
29,Karur,2179,2179,NA,NA
30,Ariyalur,710,710,NA,NA
31,Thoothukkudi,1757,1757,NA,1378
32,Tirunelveli,2337,2332,5,NA
,TOTAL,79360,79245,115,26764
